tweet_id,text_clean
1557586098,"@user thanks bro, really appreciate your support and kind words! check www.myspace.com/engineearz for more music"
1834279406,my house still smells of paint. maybe i should work at the coffee shop today
1794163775,heading to school in about 15 min
1932574284,@user oh wait i mean
1695082532,@user whoa steady there mate don't fall down
1559003587,@user @user i give seven pounds a thumbs down i had much higher expectations.
1965738959,just got home from a work.. and not looking forward to it tomorrow morning! oh and tomorrow night! great
1827740817,@user it's simple so i'll remember it
1469956130,@user no but i'm going to...can i do it through you? xo are you going to santa barbara? lucky you xoxo #rsf #rsf09 #raw #health
1556646707,i wanna go home
1559868160,helped nick shave his head. now im writing a tedious 10 page paper on cuban diaspora in miami. i just want to play wow
1833650208,"its really sad congress will rule ap for another 5 more yrs.. more corruption, more land sell offs and 0 growth"
1793162399,i found rupert grint's account. well. is it really his account? i doubt. so i didn't follow him. :p at least i got david's.
1686042184,"@user the climb was amazing, tons better than mileys version, keep it up"
1677581293,just saw wolverine...... it was so cool like some of the powers people have whoah like that guy with the stick who uses forces and stuff
1753198826,"oh thank god. if i calculated this correctly, i can still gets cs in all my classes and graduate. please give me a c, biz cap professor."
1754222812,today is sunday...tomorrow school try to do homeworkt but it's so boring...i'm looking forward ashley tisdale's new album :]
1833677679,just checking in babe
1962898298,"URL - square b - she is sad because she wasn't there and now she's, well, square (crocheted bee with poly fibe ..."
1794581761,@user hey eric. good morning
1695219899,i'm going at espacesoleil
1675895873,"fall out boy, may 8th woohooo"
1684929626,@user no i didnt get no doubt kimmel ticket but i have to work that day probaby
1880262133,this withdrawl is horrible and i'm so tired
1677970723,sats!!! nervous as fack!
1678291202,i've something in my eye and it really hurts
1795045685,@user ok swt bye and have fun!!! love u too
1468420426,rock the bells launch party tomorrow! exciited
1961758993,finals week dont bother me im studying
1969042227,want to go to jesse's already. i'm sick of sleeping alone. i love you jesse
1687528541,"cool, cloudy run all the way around the lake - very nice. breakfast with ms lowbeam even nicer. and thanks for the welcome sweetie"
1687371913,picture of my mum and her boyfriend paul URL
1833804594,@user funny really i think money is just 1 characteristic of form. no better or worse than marrying to identify with any other.
1969877841,wishes one tree hill season 6 was aired in australia
1971543883,"have to pack up &amp; load up me &amp; the girls, ugh. check out is 12:30, weigh in not til 3. what will we do? girls want 2 swim, can't happen"
1967693431,@user the followers isn't enought?
1751785877,@user !!! tell us your experience! i loveeeee youu!
1883111082,"life is way to short to waste time, no matter how long u live it seems like it wasnt long enough r.i.p. grandma trudy! love ur kees!"
1685711751,@user - not a prob congrats on the new pad!
1677412056,@user thats good too hehehe
1548727883,check out the effects of URL
1691303462,i have a pain!
1970419581,so the boys are having a sleepover ay? i miss meanie.
1686252061,loves the bright pink wristband
1826384240,finally beat tito dante and tita 'chi in mahjoong yesterday! in church. i love you bebeko (ha..ha..ha!)
1680124201,@user this boy tried to get me lol
1558854635,gaaad i need my stubid phone to work already! bored withoutt it
1573793283,"thinks there are web msn messenger, but there are no web skype URL"
1553271611,@user @user awe game's team
1792531835,@user i'm at internet and ur not . hope your night went well.
1835770678,i only start school at 11 this whole week. then roadtrip to myrtle beach thurs.
1827520518,thinking... wondering... searching?..
1832783776,tired of listening to other people's &quot;problems&quot; of the future.i've got enough of my own and you've more direction than i do! i want a job
1759349919,"just got in an hour or so ago, went to bobby's niece's for mother's day! i'm tired!"
1760307775,@user haha yer i didnt think he was at school today cause he got knocked out while playing afl and i didn't burn it soup!
1753081902,mil essay research is killing me fmd! somebody help me
1686570246,getting ready for church!!!!! yeah! and it's raining
1691235845,ah still hurts. cant even walk to the library to study. 1 more week
1694455386,"@user yeah it was shit d: im so tired, i have a headache and now i have to play a game of rygby d: but ill be right xxx &lt;33"
1695512302,"@user hey donna, lovely to see you on twitter."
1759540662,omg. talk about blast from the past. just heard a song from jeremy jordan
1685193427,"@user cheers only mp3/4, aac wma are showing up on the specification listing however. either it's unofficial, or not in this revision"
1960128670,baaaaaaaah!!!! there's a mega cockroach in the kitchen and i have no one to kill it! heeeeelp me!!!! haha my retarded cats are no help!
1753136021,@user kashtam ! wonder what would be the similey for csk
1556497931,disappointed over sound quality at educamp09 - especially in some of the recordings.
1685004875,@user ehh nahh. i dont really care. i already know it looks like shit
1836312977,"@user it's down for me, too."
1677313080,its funny how people dont want me to come town with them
1693790437,@user oh nice! what's her @? there's a tweetup round here this week
1822829777,* with crazy tbone harmonica antics all over the stage
1960491812,"oh, great. i suppose it was inevitable i'd get spammed on twitter, too."
1961886638,@user outlook not so good
1825914419,good morning everyone
1794225367,@user : URL ï¿½ 10 minutes in = my new all time favorite!
1685572136,@user have a blessed &amp; safe night ma !
1754352275,"@user follow me carmen, this is calvin lol."
1564103443,"@user that's it now, i can kiss goodbye to getting any work done, ever again. .."
1685950463,"hey , im now ready for a football match yes i play football and i play keeper ;) godta go now .. se ya all later ;)))"
1962749029,@user pansy wtf codeh?!
1956162149,loves summer bonfires.... but does not love having to be at work by 8am the next morning....
1827939201,@user thanks! i'll check 'em out.
1824428444,"free food, helped clean a house, played coh, made a couple drawings, talked with old friends, and cooled off in the shower. decent day."
1964493662,wondering if i cld make things any worse than they already are... answer.. just did!!!
1551149470,@user you obviously needed the sleep. now you can work hard all day.
1835456101,mon puppy?...my love ??????????????
1551941283,"@user ya sure, will have a second look &amp; do my complete reveiw on @user"
1965533965,@user when will these stores in sacramento open? been waiting and nothing
1970322544,hey @user . brought my friends to inked this afternoon. nice place. they didnt get anything though.
1677152987,"- it's manillusion's 4th birthday! stop by for good offers, candy and longer opening hours"
1685791729,has to find a creative approach for a presentation but nothing yet...
1553834703,i took a shower then didnt feel like strightening or curling my hairl haha so its just blehhhh for tonight. i dont mind tho
1792392721,"@user i do understand, everything is ok, just call me tomorrow night or i will call u"
1826957019,i dont really know how to get fomr here to twitpic =s? help im lost
1833952222,pray to god to switch temperature effect on all dudx.. its so cold here
1563470211,i just checked mine and they aren't showing - links take awhile to come up
1676477566,@user then don't let him press it.
1557541375,"@user it's a pretty cool place. i used to hang out there for the art, movies &amp; a little bit of drunken time too... enjoy!"
1833330211,morning already? but why?
1693699294,@user you look fantastic! it's a great article and you deserve it!! enjoy it
1828041563,ok my cable is finally back on but i still have no internet
1694063103,eating hotdog covered in hot sauce isnt fun haha
1823353705,busted a mission
1828046602,"wow, my sites still not working."
1557760314,back to school tomorrow ewww.
1881420135,"@user and i appreciate your honesty, it does'nt improve my jealous imposistion but still thank you lol"
1962415555,wow i just slept till 2pm..again... good job me
1688043415,spending the majority of my sunday on a hike
1468037380,"@user haha, i'm not that silly i'd need another job first. got more plans into motion for moving overseas now anyhow"
1822539293,@user here i thought i was the silly one! thanks for the clarification!
1834717115,@user you not working today?
1752919396,@user who can do it like we? noboddddyyyy
1795224356,@user besides tour season is upon us and i cant be attached. ick
1831239063,"@user no worries cat, they're on every month so not to worry. you can register for free at www.thehive.org.au to stay in the loop"
1678153489,@user i'm doing good today. have a fun day planned w/ almost all my daughters &amp; granddaughter.
1468861927,hurt my ankle working out this morning ... but i've lost 18 lbs &amp; i'm gaining muscle!
1759388443,"@user i know i don't feel like me, i feel empty without it"
1556924457,"happy easter peeps! im eating a big, yummy chocolate egg atm! hehe"
1881188258,i am sooooo sad
1754222785,"@user haha, i didn't think there was anyone who liked cheesecake more than me."
1565801772,"@user morning how you be, dearie?"
1824953660,"solar panels 92,6ï¿½ celcius hot. even here up north it is possible to get warm water from sun half a year! amazing!"
1754221300,lol i didnt realize #wheniwaslittle is the same as #wheniwerealad oh well too bad for me
1556117320,"thought about a lot today, a lot that's been going on and i've decided to stay to shonna and my son and it'll be all to the good."
1574007289,"getting frustrated, my pot of coffee came out as slightly colored water instead of real java. back to the drawing board"
1548861323,"got over 1,000 updates on twitter"
1754709141,i hope all the moms out there are having a great mother's day. i'm glad to be with the best mom today. love you mom!
1563896835,"india at her uncle's and cousins for dinner with my ex, feel bad coz i just couldn't face it, fuck i hate it when it begins to fray"
1691863641,"@user been there,,, still there.,...but he can't complain when he runs out of clean clothes i taught mine how to do his at 10"
1554494919,@user you could always watch nascar from phoenix on your local fox.channel
1468541803,"@user i'm probably worse than you lol so sorry, these photos are seriously long overdue last time i buy a sony cam: rubbish!"
1755249278,off to see star trek happy mother's day to all
1559808945,@user @user @user @user @user @user thanks so much for the re-tweets!
1755282839,@user yeah i like it alot
1956825957,"i think im hungry, hmm cant b botherd making dinner ah well"
1826349187,i like when i woke up this early
1681138287,"i'm a failure at baking. the things i baked got burned, and so did my fingers. it hurts to type"
1753908770,"had a very good night but im definitely suffering this morning, feeling rather fragile"
1676371237,"[[ feelin good, feelin great! ]] just got home. had a good night"
1688009619,"sunday evening!! oldest son is coming back from cisv week end, and let's start a new short week"
1825944406,@user lol i like them films
1685895389,woke up not feeling 100% after visiting our favorite cocktail bar last night. day trip to plzen scratched
1827488644,@user i've got internet problem too
1770780672,"going to bed. goodnight, sleep tight, sweet dreams and have a pleasant tomorrow &lt;33"
1677386073,i really miss my friends!!
1823416920,@user ill tell u the lame story later...ugh!!! still got to talk to steve tho
1677721163,"@user i think michelle is planning on going, so we'll see you there"
1824768498,i think my background looks fresh
1759274283,@user i'm glad we are in the network pandora is amazing!
1792857110,is disappointed danny wasn't in the final two on american idol.
1468161873,lol @user . this will mostly depend on how you dance ! if you dance like no-one is watching then maybe a bit more !
1827439379,@user ooo 4s &amp; 3s or just standard dominos? hope you're not cheating poor mabel again!
1467882865,"@user goooooood morning, chubbx how are you today?"
1961657142,"@user aww, that's sad. i miss seeing you guys on the big screen."
1550937482,there is a world map in the guardian today. much better than the random dvds they often have...
1677170251,"great house party tonight, i'm hurtin all over. great fun"
1678913303,bought my graduation dress today. and another dress. both were expensive
1880364577,@user : yip man is great movie indeed! fortunately its the 1st episode ! unfortunately the 2nd one is scheduled in 2011
1834390554,new york is near. i see it already.
1693481114,finals time = no life
1573090219,chillin.... a lil bored listening to music.. im loving that birthday sex song
1754215361,@user how long did you run for? i can't even manage ten mins xxx
1573947084,"aaaaaaw a. is back from guatemala &lt;3 yay, we missed her so much"
1558344678,@user leets do dm
1556852946,is feeling hot hate the weather!
1686202980,@user URL - gmtv! i saw you on there i loved it! x
1676847382,@user i see your tryin to get heard you should check out www.digitrill.com its an indie hip hop networking site
1548348170,@user heeeey beautiful? how's ur night so far?
1835695185,noooo! found another 1...make that 2 down 7 to go!
1558940639,@user i'm not sure. i still need to write them
1881469967,@user damn. husband says no dice hope you find loving homes for the tickets...
1956381252,"everyone's going to e3 and once again i am staying home. this time of year, i feel like the last kid picked for kickball all over again."
1692785208,@user that's awesome
1686352154,"well done rove loving annie lennox's performance, she's an icon"
1675856690,@user didn't realise - so sorry for your loss we have a fire today too!
1468954268,time to wake up auntie to get some yumm yumms goin
1563884997,can`t tweet of something. awwwww.
1469342314,revising under way...not too bad actually! can't wait to finish though!
1548888314,"had a great time with anna, eryn, damion and kyle ... love u guys"
1793226058,@user oh ok makes sense. well if u ever need help with a lyric or production i can be of some assistance. im also an artist.
1468781065,grrrrr its snowing i hate it when its cold!! it sure doesnt feel like spring
1759087779,"o happy day! awesome message from pastor melanie. lunch with mom, meg and fam. qt with bestie a knights tale. watermelon. fun peeps!"
1751526377,manual labor is not for me. my hands have blisters on them from shoveling in the yard
1694439755,@user have you check oceanup?&quot;miley cyrus justin gaston fight after lunch&quot; you ok with justin?hmmm.im with you whatever happen
1835570498,@user take care...(wondering why u were at office at all)
1695343548,@user i'll keep that in mind if i decide to add an la leg to my westt coast stint in june
1963704294,@user --nothing
1550818302,listening to &quot;the climb&quot; on my sugarloot profile
1678518414,"working week completed , two free days ahead!"
1563677983,@user god i love your crimping. i'm pretty sure you would win in a crimp-off any day
1881096813,@user manitz but not sexy
1836026153,"order placed for a vw fox. in case you're wondering, it's not for me, it's to replace the '92 fiat we have under the gov scrappage thing."
1469673965,@user tweet tweet to you too lets encourage each other to do what we should for our health...i'm down if you are
1691383353,@user thank you! i hope to be there also how is the cleaning? lol
1960756493,phew! i am melting! stupid fan - you picked a good day to stop working
1760337514,"even though it was a stupid dream.. it's annoying me so much. (and no it isnt mark btw its someone else,)"
1469559876,@user maybe you could drop her off at @user 's for a while
1880654163,"@user yeah, i know that feeling, but there's nothing you can do about it i guess."
1551940990,working till 5. picking up joni. going to a purse party with her then boyfriends!
1825027134,@user oh... i only get nightmares if i watched or saw or hear something i don't like... that's my ish
1685725177,@user *sigh how i wish i could. it will be some healthy fruit malarkey for me i fear. too much past indulgence
1834070921,"@user morning btw, and how r u today?"
1559710369,@user thanks. i learned at my mom's knee. halloween sends me into a complete and total tizzy.
1824973527,watching rove and patiently waiting for @user ' s word. + lady gaga
1752354679,"boo! no startrek for me tonight. oh well, tomorrow!"
1965655087,ha! i think i really have lost it. time to get ready for work.
1559351361,physical inventory at work. 12 hour shift minimum.
1827903864,hanging out with @user &lt;3
1933161767,@user !! i still haven't used a single sticker yet haha! i wanna do something like a hunt! i'm gonna paste it somewhere and
